sentence_1,sentence_2,label
What English queen had six fingers on one hand ?,Who founded the Unification Church ?,1
How does the chain of command work inside an US army Apache helicopter ?,When was the internal combustion engine developed ?,0
How many rows of sprocket holes does a roll of 35-millimeter film have ?,How many fiddlers did Old King Cole have ?,1
How do you stop junk snail mail ?,What 's the shape of a camel 's spine ?,0
How do you stop junk snail mail ?,What is the oldest website on the Internet ?,0
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",When did swimming become commonplace ?,1
What does the `` c '' stand for in the equation E=mc2 ?,What is RCD ?,1
What is the snowiest city in the U.S. ?,What body of water does the Yukon River empty into ?,1
What kind of meat is Fray Bentos synonymous with ?,What Leon Uris novel dealt with the Russian capture of Berlin ?,1
What does BMW stand for ?,What effect does a prism have on light ?,0
How did Peabody and Sherman travel through time ?,What was the first town to be chartered in Vermont ?,0
How do you look up criminal records on the Internet ?,What letter appears on the cold-water tap in Spain ?,0
What is the full form of .com ?,What does MSG stand for ?,1
What does SIDS stand for ?,What is RAM in the computer ?,1
What excuse did the NATO people give for hitting the Chinese embassy ?,Where is Glasgow ?,0
Who founded the Unification Church ?,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",0
What is the full form of .com ?,Who invented batteries ?,0
What is the abbreviated expression for the National Bureau of Investigation ?,How many languages are there in the world ?,0
Why was the L.A. office of Shea and Gould closed ?,How do Ouija Boards work ?,1
What is the difference between a bottle and a jar ?,About how many soldiers died in World War II ?,0
What was the name of Robert Fulton 's most famous steamboat ?,"Who wrote the book , `` The Grinch Who Stole Christmas '' ?",0
What does BUD stand for ?,What does BTU mean ?,1
What kind of tree graces Lebanon 's flag ?,What chemicals are used in lethal injection ?,1
What is a Guild ?,Which continent has the most roses ?,0
What city 's the kickoff point for climbs of Mount Everest ?,"Where on the Web is Adventours Tours from Sydney , Australia ?",1
What is making love ?,What English queen had six fingers on one hand ?,0
About how many soldiers died in World War II ?,"What 's the maximum length , in inches , of a first baseman 's glove ?",1
Who wrote The Night of the Iguana ?,How many cities are there in Utah ?,0
CPR is the abbreviation for what ?,Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,0
How do you clean an LCD monitor screen ?,How many states did Richard Nixon carry in 1972 ?,0
What does S.O.S. stand for ?,What does BTU mean ?,1
What country was Erich Honecker the leader of ?,What city does McCarren Airport serve ?,1
Who invented batteries ?,Who used to make cars with rotary engines ?,1
What excuse did the NATO people give for hitting the Chinese embassy ?,"What 's the maximum length , in inches , of a first baseman 's glove ?",0
What is Mikhail Gorbachev 's middle initial ?,What does the `` blue ribbon '' stand for ?,1
CPR is the abbreviation for what ?,What was the first town to be chartered in Vermont ?,0
What are the snakes of New England ?,What is the oldest website on the Internet ?,0
What is the snowiest city in the U.S. ?,What country buys 25 percent of the world 's tea exports ?,1
What year did the United States pass the Copyright law ?,How much did the minimum wage amount to in 1991 ?,1
What does the channel ESPN stand for ?,How many people live in Chile ?,0
What is the Hub of London ?,How many states did Richard Nixon carry in 1972 ?,0
What does CPR stand for ?,What does BTU mean ?,1
How did Peabody and Sherman travel through time ?,What letter appears on the cold-water tap in Spain ?,0
What concerts are held in New York this week ?,What is the fastest-growing comic strip of all time ?,1
What is a Guild ?,What concerts are held in New York this week ?,0
CPR is the abbreviation for what ?,Why do men snore ?,0
How does the chain of command work inside an US army Apache helicopter ?,Where was Lincoln assassinated ?,0
What does BMW stand for ?,How tall is Prince Charles ?,0
In what book can I find the story of Aladdin ?,"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",1
What is Mikhail Gorbachev 's middle initial ?,What animal migrates the farthest ?,0
When was Ozzy Osbourne born ?,How many Beatles ' records went #1 ?,1
When did the Chernobyl nuclear accident occur ?,How many consecutive baseball games did Lou Gehrig play ?,1
Who invented batteries ?,What year did the United States pass the Copyright law ?,0
Who wrote The Night of the Iguana ?,How many people die from snakebite poisoning in the U.S. per year ?,0
Why was the L.A. office of Shea and Gould closed ?,What made the short-lived Star Hawks strip so unique ?,1
What does EKG stand for ?,What does SIDS stand for ?,1
What is the longest English word ?,Who founded the Unification Church ?,0
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,In what book can I find the story of Aladdin ?,0
What company 's trademark was His Master 's Voice ?,Where can I find a picture of a Blue Meanie ?,0
What is the acronym for the National Bureau of Investigation ?,What is IOC an abbreviation of ?,1
What does NAFTA stand for ?,What does BUD stand for ?,1
What costume designer decided that Michael Jackson should only wear one glove ?,Who wrote The Night of the Iguana ?,1
CPR is the abbreviation for what ?,What are `` inkhorn terms '' ?,0
How does the Elongated Man know a mystery is afoot ?,Why was the L.A. office of Shea and Gould closed ?,1
What does BUD stand for ?,What chemicals are used in lethal injection ?,0
What does BMW stand for ?,What was the name of Robert Fulton 's most famous steamboat ?,0
What are the snakes of New England ?,How many people live in Chile ?,0
What 's the shape of a camel 's spine ?,Who is the president of the Spanish government ?,0
What does the `` blue ribbon '' stand for ?,What does the abbreviation OAS stand for ?,1
"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",What are three ways in which wind is created on the earth ?,1
What country has the highest per capita consumption of cheese ?,What was the date of Iraq 's invasion of Kuwait ?,0
How do Ouija Boards work ?,What is the snowiest city in the U.S. ?,0
Who wrote The Night of the Iguana ?,What was the name of Randy Craft 's lawyer ?,1
What excuse did the NATO people give for hitting the Chinese embassy ?,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,0
When was the Big Thompson flood ?,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",1
How do you look up criminal records on the Internet ?,Who was Lauren Bacall 's first husband ?,0
What English queen had six fingers on one hand ?,What Tokyo street glitters with famed department stores and nightclubs ?,0
What 's the shape of a camel 's spine ?,What Leon Uris novel dealt with the Russian capture of Berlin ?,1
What is the full form of .com ?,What is the zodiac sign for August 14 ?,0
What kind of animal was Winnie the Pooh ?,Name the soft drink that is `` number one in the sun . '',1
What does the channel ESPN stand for ?,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",0
CPR is the abbreviation for what ?,What university football team did O.J. Simpson take to the Rose Bowl ?,0
Where can I find a picture of a Blue Meanie ?,How many states did Richard Nixon carry in 1972 ?,0
"Where are the apartments in Saint John , New Brunswick ?",What country buys 25 percent of the world 's tea exports ?,1
Name the blind sculptress in love with the Fantastic Four 's Thing .,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,0
How many electoral votes does it take to win presidency ?,How many fiddlers did Old King Cole have ?,1
What does the acronym CPR mean ?,What first name was Nipsy Russell given at birth ?,0
What kind of animal was Winnie the Pooh ?,What is a fear of strong light ?,1
How many fiddlers did Old King Cole have ?,How many shillings more than 2 were there in a guinea ?,1
What is a wart ?,Who won the 1967 Academy Award for Best Actor ?,0
How does the chain of command work inside an US army Apache helicopter ?,What kind of tree graces Lebanon 's flag ?,0
What does NN O `` mean when used as a prefix in Irish surnames ?,What does NECROSIS mean ?,1
Who is the president of the Spanish government ?,Who used to make cars with rotary engines ?,1
What country was Erich Honecker the leader of ?,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,1
What does BMW stand for ?,What is the zodiac sign for August 14 ?,0
What does the Statue of Liberty wear on her feet ?,What costume designer decided that Michael Jackson should only wear one glove ?,0
Where can I find a picture of a Blue Meanie ?,How many people die from snakebite poisoning in the U.S. per year ?,0
What city does McCarren Airport serve ?,What country buys 25 percent of the world 's tea exports ?,1
What does CPR stand for ?,How many people die from snakebite poisoning in the U.S. per year ?,0
What concerts are held in New York this week ?,Who wrote The Night of the Iguana ?,0
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",How many consecutive baseball games did Lou Gehrig play ?,0
How does the chain of command work inside an US army Apache helicopter ?,How many acres in a mile ?,0
What does BUD stand for ?,What Leon Uris novel dealt with the Russian capture of Berlin ?,0
What does NAFTA stand for ?,What does S.O.S. stand for ?,1
What is Mikhail Gorbachev 's middle initial ?,How many bends are there in a standard paper clip ?,0
What is the longest English word ?,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,1
How does the chain of command work inside an US army Apache helicopter ?,Where can I read about Chiang Kai-shek ?,0
What is the snowiest city in the U.S. ?,Where did Luther display his `` Ninety-Five Theses '' ?,1
What was the name of the US helicopter pilot shot down over North Korea ?,What costume designer decided that Michael Jackson should only wear one glove ?,1
What does CPR stand for ?,What is RCD ?,1
What is the song Stairway to Heaven by Led Zeppelin about ?,What English queen had six fingers on one hand ?,0
What is the Hub of London ?,The major league baseball team in Pittsburgh is called what ?,0
How does the Elongated Man know a mystery is afoot ?,Name the soft drink that is `` number one in the sun . '',0
How many consecutive baseball games did Lou Gehrig play ?,How many fiddlers did Old King Cole have ?,1
When did the Chernobyl nuclear accident occur ?,What was the date of Iraq 's invasion of Kuwait ?,1
What are three ways in which wind is created on the earth ?,Aspartame is known by what other name ?,1
What year did the United States pass the Copyright law ?,How many acres in a mile ?,1
What are the living conditions in Cuba ?,Where is Glasgow ?,0
What does the `` blue ribbon '' stand for ?,How do you clean an LCD monitor screen ?,0
What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?,Where is Webster University ?,0
What does BUD stand for ?,What is a camel hair brush actually made out of ?,0
What was the first town to be chartered in Vermont ?,What river runs through Liverpool ?,1
How many cities are there in Utah ?,How many shillings more than 2 were there in a guinea ?,1
What costume designer decided that Michael Jackson should only wear one glove ?,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",1
What are `` inkhorn terms '' ?,What university football team did O.J. Simpson take to the Rose Bowl ?,0
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,Name the soft drink that is `` number one in the sun . '',0
What concerts are held in New York this week ?,What kind of tree graces Lebanon 's flag ?,1
What does NN O `` mean when used as a prefix in Irish surnames ?,What is IOC an abbreviation of ?,1
What 's the abbreviation for trinitrotoluene ?,How does the chain of command work inside an US army Apache helicopter ?,0
Where is Glasgow ?,Where can I read about Chiang Kai-shek ?,1
Why does sound travel quicker through water than air ?,How much did the minimum wage amount to in 1991 ?,0
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,What is the snowiest city in the U.S. ?,0
"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",Who invented the game bowling ?,1
What does Choo Choo Charlie say ?,How many rows of sprocket holes does a roll of 35-millimeter film have ?,0
What chemicals are used in lethal injection ?,Who created Maudie Frickett ?,0
How do you clean an LCD monitor screen ?,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",0
What is the snowiest city in the U.S. ?,How many Beatles ' records went #1 ?,0
