text,coarse_label,fine_label,label,source_line
what is the best online games site ?,LOC,other,4,3291
"what does r.e.m. stand for , as in the rock group r.e.m. ?",ABBR,exp,0,5005
what does nasdaq stand for ?,ABBR,exp,0,308
how do you solve `` rubik 's cube '' ?,DESC,manner,1,791
what 's bottled in jeroboams ?,ENTY,other,2,4068
what is the web address of the list of e-mail addresses of members of the house of representatives ?,LOC,other,4,581
what 's the name of the tokyo stock exchange ?,ENTY,termeq,2,2375
what season begins with the vernal equinox ?,NUM,date,5,1895
who should i call to get a tour of the new york stock exchange ?,HUM,ind,3,3197
what does the word laser mean ?,ABBR,exp,0,855
what 's the longest river in the world ?,LOC,other,4,902
who banned peter rose from baseball for betting on games ?,HUM,ind,3,891
what 's the capital of monaco ?,LOC,city,4,4128
what does nasa stand for ?,ABBR,exp,0,3521
what island is home to statues called mauis ?,LOC,other,4,4340
how come a doughnut has a hole in it ?,DESC,reason,1,3934
what is afs ?,ABBR,exp,0,2956
what is dtmf ?,ABBR,exp,0,3140
how hot should the oven be when baking peachy oat muffins ?,NUM,temp,5,5107
what island was the target of the u.s. 's operation urgent fury ?,LOC,other,4,4737
how many emperors were there in the roman empire ?,NUM,count,5,2849
what is the u.s. location of procter & gamble corporate offices ?,LOC,other,4,5386
"what 's the meaning of the latin battle cry : ad arma , ad arma .",DESC,def,1,258
where is the virtual desk reference ?,LOC,other,4,3850
where can i find a world atlas map online at no charge ?,LOC,other,4,4175
what are the benefits of a rowing machine ?,DESC,desc,1,4907
"how much does it cost to have a tree planted by dialing , 900 , 740-tree ?",NUM,money,5,2728
what book is subtitled the preservation of favoured races in the struggle for life ?,ENTY,cremat,2,2412
how long ago did the anglican church part from the vatican ?,NUM,period,5,5048
who bestowed great power upon captain britain ?,HUM,ind,3,4686
how many referees work a soccer game ?,NUM,count,5,478
when did hitler come to power in germany ?,NUM,date,5,2302
what is the oldest ethnological museum in the world ?,LOC,other,4,2272
what two baseball players make up the battery ?,HUM,ind,3,1355
how much money are dumbo 's ears insured for ?,NUM,money,5,431
what is the largest variety of cactus ?,DESC,def,1,1695
what does msg stand for ?,ABBR,exp,0,3299
who advised listeners to `` see the u.s.a. in your chevrolet '' ?,HUM,ind,3,1263
how many calories are there in soy sauce ?,NUM,count,5,3008
what did thomas paine write ?,ENTY,cremat,2,3248
what sport can a free-legged pacer compete in ?,ENTY,sport,2,5262
what was the man 's name who was killed in a duel with aaron burr ?,HUM,ind,3,3406
what south american city has the world 's highest commercial landing field ?,LOC,city,4,213
who gave abbie hoffman his first dose of lsd ?,HUM,ind,3,3021
how many fingers are used to draw a bow ?,NUM,count,5,782
"what do the letters ce stand for on so many products , particularly electrical , purchased now ?",ABBR,exp,0,4263
how do i e-mail someone at aol.com from yahoo.com ?,DESC,manner,1,1472
what are the alveoli ?,DESC,def,1,2014
who was the actor who played sam in the movie casablanca ?,HUM,ind,3,3806
what does btu mean ?,ABBR,exp,0,3622
what personality traits are capricorns said to have ?,DESC,desc,1,4791
what does ` psi ' stand for ?,ABBR,exp,0,295
what film featured a snarly character named kid shelleen ?,ENTY,cremat,2,4126
what is jimmy olsen 's full name ?,HUM,ind,3,3939
what level of government or governmental agency is responsible for dealing with racism ?,HUM,gr,3,477
how do you identify prime numbers ?,DESC,manner,1,2694
why is the mile 528 feet ?,DESC,reason,1,4301
who was scrooge 's dead partner in dickens 's a christmas carol ?,HUM,ind,3,2821
what condiment do the dutch dip their french fries in ?,ENTY,food,2,5065
when does the average teenager first have intercourse ?,NUM,date,5,449
what is a fear of failure ?,ENTY,dismed,2,5044
where is procter & gamble headquartered in the u.s. ?,LOC,other,4,437
for what disease is the drug sinemet used as a treatment ?,ENTY,dismed,2,4919
what city in florida is sea world in ?,LOC,city,4,2706
what major airline has the best safety record in the world ?,HUM,gr,3,4457
who makes the `` cross-your-heart bra '' ?,HUM,ind,3,4452
when did the carolingian period begin ?,NUM,date,5,2846
how do i write to my congressman ?,DESC,manner,1,1775
who was the first coach of the cleveland browns ?,HUM,ind,3,366
what does inri stand for when used on jesus ' cross ?,ABBR,exp,0,148
on which flight did fawaz younis commit air piracy and hostage taking ?,ENTY,veh,2,2103
name a film in which jude law acted .,ENTY,cremat,2,563
what is glass made of ?,ENTY,substance,2,1930
what is svhs ?,ABBR,exp,0,4252
what does it take to be a hero ?,ENTY,other,2,3823
when did nostradamus believe world war iii would begin ?,NUM,date,5,2556
what european city do nicois live in ?,LOC,city,4,266
what does the abbreviation ioc stand for ?,ABBR,exp,0,2593
tell me what city the kentucky horse park is near ?,LOC,city,4,1346
what age is benny carter ?,NUM,period,5,2622
what 's the abbreviation for limited partnership ?,ABBR,abb,0,2534
what is columbia tristar 's phone number ?,NUM,code,5,2004
what were the first words spoken on a film sound track ?,DESC,desc,1,3207
what is a fear of fur ?,ENTY,dismed,2,1754
how does one correctly pronounce ` qigong ' ?,DESC,manner,1,1864
what actor and actress have made the most movies ?,HUM,ind,3,4102
what new games are available for nintendo 64 ?,ENTY,sport,2,2627
where is the taj mahal ?,LOC,other,4,4610
what do bee hives do in cranberry bogs ?,DESC,desc,1,481
what date did man first land on the moon ?,NUM,date,5,2752
who is the superstar in rent-a-cars ?,HUM,ind,3,508
what does ekg stand for ?,ABBR,exp,0,5092
which killer whale died at sea world of a fungal infection ?,ENTY,animal,2,871
why do many native american students not complete college ?,DESC,reason,1,4121
what is compaq 's mission statement ?,DESC,desc,1,2475
what is the abbreviation for micro ?,ABBR,abb,0,305
