text,coarse_label,fine_label,label,source_line
what knighted actor narrates tv 's the world at war ?,HUM,ind,3,3899
"how can i find online spelling , and punctuation drills for my 6th grader ?",DESC,manner,1,914
how many questions do you have on your database ?,NUM,count,5,1332
why do movie and tv stars get paid so much ?,DESC,reason,1,4298
"what does caliente mean , in english ?",DESC,def,1,2547
what is the goat population of the world ?,NUM,count,5,1308
what is troilism ?,DESC,def,1,2690
where did honecker rule ?,LOC,other,4,1538
what is ioc an abbreviation of ?,ABBR,exp,0,1988
what is the fear of being loved ?,ENTY,dismed,2,706
what 's the largest island in the west indies ?,LOC,other,4,2723
what is making love ?,DESC,def,1,4058
what countries have the largest armed forces in the world ?,LOC,country,4,1567
how many different countries export coffee ?,NUM,count,5,3893
which is the wealthiest country in the world ?,LOC,country,4,676
what ill-fated american general dragged a bull terrier named willie through world war ii ?,HUM,ind,3,3354
what is the acronym for the national bureau of investigation ?,ABBR,abb,0,2357
what were the causes of the civil war ?,DESC,reason,1,1596
what is a specimen of basidiomycetes ?,DESC,def,1,5100
what color is the cross on switzerland 's flag ?,ENTY,color,2,3749
what year was the naacp founded ?,NUM,date,5,2323
what are the languages spoken by the natives in afghanistan ?,ENTY,lang,2,3718
what country was kim philby really working for ?,LOC,country,4,3058
"what desert country borders saudi arabia , iraq and the persian gulf ?",LOC,country,4,2745
what country 's capital is lagos ?,LOC,country,4,1531
where are the leading medical groups specializing in lung diseases ?,LOC,other,4,913
what is lmds ?,ABBR,exp,0,4348
"when reading classified ads , what does eenty : other stand for ?",ABBR,exp,0,590
what is ram in the computer ?,ABBR,exp,0,4172
what war did the potsdam conference follow ?,ENTY,event,2,1809
what is the full form of .com ?,ABBR,exp,0,5
where were the 1936 summer olympics held ?,LOC,other,4,5191
how many wings does a flea have ?,NUM,count,5,2226
what mediterranean island is home to the first club med ?,LOC,other,4,3230
"what u.s. vice-president once declared : `` if you 've seen one slum , you 've seen them all '' ?",HUM,ind,3,2469
where does the opera singer ileana cotrubas come from ?,LOC,other,4,2320
