text,coarse_label,fine_label,label,source_line
what is ioc an abbreviation of ?,ABBR,exp,0,1988
how many wings does a flea have ?,NUM,count,5,2226
what was known as the spice island ?,LOC,other,4,503
what was the man 's name who was killed in a duel with aaron burr ?,HUM,ind,3,3406
what city is sometimes called gotham ?,LOC,city,4,194
on which flight did fawaz younis commit air piracy and hostage taking ?,ENTY,veh,2,2103
who was the actor who played sam in the movie casablanca ?,HUM,ind,3,3806
"where are the apartments in saint john , new brunswick ?",LOC,other,4,3512
what does inri stand for when used on jesus ' cross ?,ABBR,exp,0,148
how much did manchester united spend on players in 1993 ?,NUM,money,5,4016
"what do the letters ce stand for on so many products , particularly electrical , purchased now ?",ABBR,exp,0,4263
name randy craft 's lawyer .,HUM,ind,3,1876
"what is the latitude and longitude of el paso , texas ?",NUM,other,5,1536
"what u.s. vice-president once declared : `` if you 've seen one slum , you 've seen them all '' ?",HUM,ind,3,2469
what is deet ?,ABBR,exp,0,3098
how do i e-mail someone at aol.com from yahoo.com ?,DESC,manner,1,1472
what does vcr stand for ?,ABBR,exp,0,3342
what is the fare cost for the round trip between new york and london on concorde ?,NUM,money,5,3734
what is html ?,ABBR,exp,0,2693
what are the names of the different toes ?,ENTY,body,2,2151
which killer whale died at sea world of a fungal infection ?,ENTY,animal,2,871
how long ago did the anglican church part from the vatican ?,NUM,period,5,5048
what does iq stand for ?,ABBR,exp,0,4105
name a french fascist party .,HUM,gr,3,3278
what do the names andrew and christina mean ?,DESC,def,1,1600
how hot should the oven be when baking peachy oat muffins ?,NUM,temp,5,5107
where is procter & gamble headquartered in the u.s. ?,LOC,other,4,437
what state is known as the hawkeye state ?,LOC,state,4,5388
who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ?,HUM,ind,3,2954
what is mikhail gorbachev 's middle initial ?,ABBR,abb,0,4944
where can i find a `` fifth element '' screensaver ?,LOC,other,4,328
what is ram in the computer ?,ABBR,exp,0,4172
what country is home to heineken beer ?,LOC,country,4,5435
how many dollars a day did arthur frommer say you could get by on in europe in 1968 ?,NUM,count,5,3658
where do i find information for foreclosure properties on the internet ?,LOC,other,4,2925
what is a urologist ?,DESC,def,1,4066
who advised listeners to `` see the u.s.a. in your chevrolet '' ?,HUM,ind,3,1263
what is the name of the islamic counterpart to the red cross ?,ENTY,termeq,2,1928
what is columbia tristar 's phone number ?,NUM,code,5,2004
what does the number `` 5 '' stand for on fubu clothing ?,ABBR,abb,0,3551
what nationality was jackson pollock ?,LOC,country,4,1703
what is the recipe for eggs benedict ?,ENTY,food,2,2600
why do horseshoes bring luck ?,DESC,reason,1,185
what film featured a snarly character named kid shelleen ?,ENTY,cremat,2,4126
what does cpr stand for ?,ABBR,exp,0,5263
where is erykah badu originally from ?,LOC,other,4,5249
how many people did randy craft kill ?,NUM,count,5,281
"what do the letters d.c. stand for in washington , d.c. ?",ABBR,exp,0,1350
what is the origin of the proverb `` a stitch in time saves nine '' ?,DESC,desc,1,2571
what is the abbreviation of general motors ?,ABBR,abb,0,1743
where can i get a complete listing of showtimes in my area ?,LOC,other,4,4826
what country did the romans call hibernia ?,LOC,country,4,3163
when does menstruation begin ?,NUM,date,5,5231
what is the goat population of the world ?,NUM,count,5,1308
who played the ringo kid in the 1939 film stagecoach ?,HUM,ind,3,611
who was thucydides ?,HUM,desc,3,1571
how is answers.com funded ?,DESC,manner,1,5054
what is software piracy ?,DESC,def,1,3426
how tall was the animated king kong ?,NUM,dist,5,4641
what is compaq 's mission statement ?,DESC,desc,1,2475
what is the average age of a member of the team that worked on the manhatten project ?,NUM,period,5,1080
what card company sells christmas ornaments ?,HUM,gr,3,2773
what does ibm stand for ?,ABBR,exp,0,1455
what were the first words spoken on a film sound track ?,DESC,desc,1,3207
name the vessel used by the atari force in the dc comics .,ENTY,veh,2,912
who bestowed great power upon captain britain ?,HUM,ind,3,4686
where does mother angelica live ?,LOC,other,4,1851
what does ekg stand for ?,ABBR,exp,0,5092
what is rcd ?,ABBR,exp,0,2433
what color were ernest hemingway 's eyes ?,ENTY,color,2,4240
what heavyweight boxer was known as the wild bull of the pampas ?,HUM,ind,3,5082
cpr is the abbreviation for what ?,ABBR,exp,0,5068
what sport can a free-legged pacer compete in ?,ENTY,sport,2,5262
what revelation did alexander butterfield make to the senate watergate committee ?,DESC,desc,1,4339
how do you identify prime numbers ?,DESC,manner,1,2694
what is a fear of fish ?,ENTY,dismed,2,5410
who is count cinzano ?,HUM,desc,3,2458
what time of year is air travel the heaviest ?,NUM,date,5,3677
where is the kalahari desert ?,LOC,other,4,192
cnn is an acronym for what ?,ABBR,exp,0,3411
how many emperors were there in the roman empire ?,NUM,count,5,2849
what is sap ?,ABBR,exp,0,4258
how do i contact answers.com ?,DESC,manner,1,2150
how many horses died during the civil war ?,NUM,count,5,1266
what does the acronym cpr mean ?,ABBR,exp,0,4559
who is the famous sister of actress olivia de havilland ?,HUM,ind,3,4075
where can i get piano music for the jamiroquai song everyday for the midi ?,LOC,other,4,3979
what is dtmf ?,ABBR,exp,0,3140
where does the weird shape of the dinner fish knife originate from ?,LOC,other,4,2208
what colors make up a rainbow ?,ENTY,color,2,3180
how many languages are there in the world ?,NUM,count,5,4901
"which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?",ENTY,animal,2,298
what trade did the 15th and 16th century portuguese hope to control between asia and europe ?,ENTY,other,2,4080
how many questions do you have on your database ?,NUM,count,5,1332
what is svhs ?,ABBR,exp,0,4252
what 's the first day of the week ?,NUM,date,5,723
what is making love ?,DESC,def,1,4058
what is the name of a book written by aaron hass ?,ENTY,cremat,2,5018
how much calcium should an adult female have daily ?,NUM,count,5,5143
what is the abbreviated expression for the national bureau of investigation ?,ABBR,abb,0,669
what city in florida is sea world in ?,LOC,city,4,2706
how long were tyrannosaurus rex 's teeth ?,NUM,dist,5,1913
what are tonsils for ?,DESC,reason,1,1574
what season begins with the vernal equinox ?,NUM,date,5,1895
the jewish alphabet is known as what ?,ENTY,termeq,2,5097
what is a fear of worms ?,ENTY,dismed,2,2709
"what is the approximate population of las vegas , n.m ?",NUM,other,5,1353
what does the abbreviation ioc stand for ?,ABBR,exp,0,2593
where does the u.s. rank among world countries in area ?,NUM,ord,5,1231
what does shield stand for ?,ABBR,exp,0,2501
how do you solve `` rubik 's cube '' ?,DESC,manner,1,791
how many gallons of water go over niagra falls every second ?,NUM,count,5,4372
what is cunnilingus ?,DESC,def,1,3763
what 's the population of mississippi ?,NUM,other,5,1856
when did princess diana and prince charles get married ?,NUM,date,5,2007
what is the acronym for the rating system for air conditioner efficiency ?,ABBR,abb,0,5310
what did abolitionists try to end ?,ENTY,other,2,4524
who was darth vader 's son ?,HUM,ind,3,4095
what is the weight of a teaspoon of matter in a black hole ?,NUM,weight,5,3297
what is the abbreviation of the company name ` general motors ' ?,ABBR,abb,0,382
what does ph stand for ?,ABBR,exp,0,5013
what does the abbreviation oas stand for ?,ABBR,exp,0,3739
where can i find examples of legal cases about the individuals with disabilities education act ?,LOC,other,4,1334
how do you get silly putty out of fabric ?,DESC,manner,1,3290
what is afs ?,ABBR,exp,0,2956
what is the purpose of bios ?,DESC,reason,1,3509
"what does caliente mean , in english ?",DESC,def,1,2547
what 's the longest river in the world ?,LOC,other,4,902
approximately how many students are enrolled at the university of massachusetts ?,NUM,count,5,2312
what percentage of children between the ages of two and eleven watch ` the simpsons ' ?,NUM,perc,5,1773
for what reason did some san diego schools stop serving apples ?,DESC,reason,1,1262
what state is mount mckinley in ?,LOC,state,4,2428
what are the top vegetable crops in the world ?,ENTY,food,2,4032
what 's the abbreviation for trinitrotoluene ?,ABBR,abb,0,1985
what is the term for a group of geese ?,ENTY,termeq,2,1777
who was scrooge 's dead partner in dickens 's a christmas carol ?,HUM,ind,3,2821
what time of year do most people fly ?,NUM,date,5,2820
"in a computer , what does scsi mean ?",ABBR,exp,0,3662
how do i find a web address for a company ?,DESC,manner,1,5079
what does nn o `` mean when used as a prefix in irish surnames ?,ABBR,exp,0,981
what does lol mean ?,ABBR,exp,0,2143
when was the parthenon built ?,NUM,date,5,5051
what island is home to statues called mauis ?,LOC,other,4,4340
what does e.g. stand for ?,ABBR,exp,0,1397
how many minutes were there on the original ge college bowl clock ?,NUM,count,5,1270
what does cnn stand for ?,ABBR,exp,0,1886
how do storms form ?,DESC,manner,1,1399
who were the 1974 oscar winners ?,HUM,ind,3,4815
what tennis player has the nickname `` nasty '' ?,HUM,ind,3,3681
what is the acronym for the national bureau of investigation ?,ABBR,abb,0,2357
who was chosen to be the first black chairman of the military joint chiefs of staff ?,HUM,ind,3,4651
what did vasco da gama discover ?,ENTY,other,2,4824
what does ` psi ' stand for ?,ABBR,exp,0,295
"what does ms. , miss , and mrs. stand for ?",ABBR,exp,0,1198
in what year was de gaulle elected president of france ?,NUM,date,5,172
"what was al capone finally imprisoned for , in 1931 ?",DESC,reason,1,2716
"what is p.m. an abbreviation for , as in 5 p.m. ?",ABBR,exp,0,5261
what is the origin of the expression `` four-letter word '' ?,DESC,desc,1,4241
what is the average weight for a man ?,NUM,weight,5,2264
what is ouzo ?,DESC,def,1,4052
what is the meaning of the name ella ?,DESC,def,1,1474
who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?,HUM,ind,3,1378
how many people are there in the world ?,NUM,count,5,218
how do they get teflon to stick to the pan ?,DESC,manner,1,4450
what countries does the mont blanc tunnel join ?,LOC,country,4,3145
what planet did percival lovell discover ?,LOC,other,4,4519
what knighted actor narrates tv 's the world at war ?,HUM,ind,3,3899
"what tv character said ; `` one of these days , alice , pow , right in the kisser '' ?",HUM,ind,3,2639
what does knight ridder publish ?,ENTY,cremat,2,3477
how many types of dogs ' tails are there - three,NUM,count,5,403
what is the internet2 ?,DESC,def,1,4869
where are the leading medical groups specializing in lung diseases ?,LOC,other,4,913
what is a `` usb '' port on a computer ?,ABBR,exp,0,2138
what is the fear of being loved ?,ENTY,dismed,2,706
what are the rites accompanying the circumcision of a newly born-child in judaism called ?,ENTY,event,2,211
what two south american countries do n't border brazil ?,LOC,country,4,157
"what product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?",ENTY,product,2,4948
"what explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTY,substance,2,1200
what personality traits are capricorns said to have ?,DESC,desc,1,4791
what are the developmental stages of a swimmer ?,ENTY,other,2,353
why do movie and tv stars get paid so much ?,DESC,reason,1,4298
what actor and actress have made the most movies ?,HUM,ind,3,4102
