label-coarse,label-fine,text,trec_split,label
3,6,what is the oldest profession,train,1
3,4,who was the inventor of silly putty,train,1
3,6,what is the occupation of nicholas cage,train,1
0,9,what causes pneumonia,train,0
0,12,what is the design of the ship titanic,train,0
3,4,who followed caesar,train,1
3,4,who invented the radio,train,1
3,4,what actor first portrayed james bond,train,1
0,9,what is jane goodall known for,train,0
3,12,who is the queen mother,train,1
3,4,who was randy steven craft 's lawyer,train,1
3,5,what is the best college in the country,train,1
3,4,what was her real name,train,1
0,7,what is color,train,0
0,9,why did the chicken cross the road,train,0
3,4,what actor married john f. kennedy 's sister,train,1
3,4,who invented silly putty,train,1
0,9,what is the purpose of a car bra,train,0
3,12,who is colin powell,train,1
3,4,who painted the sistine chapel,train,1
0,7,what is australia day,train,0
0,7,what is the definition of low island,train,0
0,12,where did marijuana come from,train,0
3,4,name the lawyer for randy craft,train,1
0,7,define cosmology,train,0
3,4,who made the first gas engine,train,1
0,0,how do clouds form,train,0
0,12,what do christian scientists believe in,train,0
3,4,what two baseball players make up the battery,train,1
3,5,what university was woodrow wilson president of,train,1
0,0,how can you prevent it,train,0
0,9,what causes tuberculosis,train,0
0,7,what is head start,train,0
3,4,silly putty was invented by whom,train,1
0,0,how can someone become a federal agent,train,0
0,9,why do we have to go to school,train,0
0,0,how do i write to my congressman,train,0
0,12,what happened in the long march,train,0
3,4,what is michael jackson 's middle name,train,1
0,0,how does one correctly pronounce qigong,train,0
3,4,who is the father of the computer,train,1
0,9,what causes rolling thunder,train,0
3,4,what is the name of miss india 1994,train,1
3,4,who is the pope,train,1
0,0,how do you clean up a cache,train,0
0,12,what is the origin of the word assassinate,train,0
0,0,how do you address a chinese person,train,0
0,7,what is the meaning of thalassemia,train,0
3,4,who is the creator of the muppets,train,1
0,7,what does storm wave mean in japanese,train,0
3,4,who was charles lindbergh 's wife,train,1
0,0,how do i contact answers.com,train,0
3,5,name pittsburgh 's baseball team,train,1
0,12,what does choo choo charlie say,train,0
0,7,what does hazmat stand for,train,0
0,0,how did names come about,train,0
3,4,what is her husband 's name,train,1
3,4,who killed caesar,train,1
0,9,why does it snow,train,0
0,7,what is the definition of hazmat,train,0
0,9,why is jane goodall famous,train,0
0,7,what is a guild,train,0
3,4,what engineer invented the pull-tab can,train,1
3,5,which college did dikembe mutombo attend,train,1
0,7,what is thalassemia,train,0
0,7,what is diabetes,train,0
0,7,what is hydrogen,train,0
0,12,what is the origin of the christmas tree,train,0
